title,lead-organisation,abstract,project-value,technology,funding,startdate,finishdate,finishdate-additional-information,closed,lat,lon,link
"Investigating a bioenergy alternative for mines","AgGrow Energy Resources Pty Ltd","ARENA provided $300,000 to lay the groundwork for a renewable biogas project in the Pilbara. The project found that it is technically feasible to supply remote mine sites with electricity and/or natural gas produced from purpose grown biomass using mine dewatering using Anaerobic Digestion.",400000,Bioenergy,300000,"June 2014","May 2015",,,-31.9530044,115.8574693,http://arena.govspace.gov.au/project/investigating-a-bioenergy-alternative-for-mines/
"Investigating local network charges and local electricity trading","Institute for Sustainable Futures, University of Technology, Sydney","This project is supporting studies, consultations and virtual trials to inform the development of alternative charging methods for local renewable energy projects and potential changes to electricity market rules.",706000,"Hybrid and enabling technologies",250000,"June 2015",,,,,,http://arena.govspace.gov.au/project/investigating-local-network-charges-and-local-electricity-trading/
"Karratha Airport Solar Plant","SunEdison Australia","This project involves the design, construction, commissioning and operation of a 1 MW solar photovoltaic (PV) facility with cloud predictive technology (CPT) at Western Australia's second-largest airport Karratha Airport. The City of Karratha, which owns Karratha Airport, will enter into a 21 year power purchase agreement (PPA) with the solar plant.",7100000,"Solar energy",2300000,"September 2015",,,,-20.7366148,116.8467646,http://arena.govspace.gov.au/project/karratha-airport-solar-plant/
"Kidston pumped storage project","Genex Power Limited","ARENA is supporting a feasibility study into the construction of a pumped storage hydroelectric power plant at the disused Kidston Gold Mine in North Queensland.

Located 280km north west of Townsville, the project has the potential to generate up to 330 MW of rapid response, flexible power for delivery into Australia's National Electricity Market.",6200000,"Hybrid and enabling technologies",4000000,"December 2015",,,,-19.2576268,146.8178707,http://arena.govspace.gov.au/project/kidston-pumped-storage-project/
"King Island Renewable Energy Integration Project","Hydro Tasmania","This project is developing a world-leading power system using a unique combination of several technologies. The system will supply over 65% of King Island's energy needs using renewable energy, thereby reducing carbon dioxide emissions by more than 95%.",18250000,"Hybrid and enabling technologies",6083000,"April 2011",,,,-39.87534770000001,143.9370758,http://arena.govspace.gov.au/project/king-island-renewable-energy-integration-project/
"Kogan Creek Solar Boost project","CS Energy Ltd","The Kogan Creek Solar Boost Project is a 44 megawatt CSP addition to CS Energy's existing 750 megawatt coal-fired Kogan Creek Power Station. On completion it will be the world's largest solar integration with a coal-fired power station.",104700000,"Solar energy",34900000,"July 2011",,,,-26.7394351,150.6250631,http://arena.govspace.gov.au/project/kogan-creek-solar-boost-project/
"Least-cost carbon abatement modelling","University of Melbourne","This project is developing a software tool that links together weather variability, renewable and fossil technologies, transmission and economic market models, in many hundreds of thousands of combinations, to find the most affordable ways to significantly increase the use of renewable energy in the electricity system.",1230000,"Hybrid and enabling technologies",931207,"July 2012",,,,-37.798501,144.962905,http://arena.govspace.gov.au/project/least-cost-carbon-abatement-modelling/
"Lithium-sulfur batteries for large-scale energy storage","University of Technology, Sydney","This project aims to develop advanced lithium-sulfur batteries for renewable energy storage with high energy density, extended service life and operation safety.",1990000,"Solar energy",750000,"September 2014",,,,-33.8674869,151.2069902,http://arena.govspace.gov.au/project/lithium-sulfur-batteries-for-large-scale-energy-storage/
"Local doping using laser chemical processing technology for advanced silicon solar cells","Australian National University (ANU)","This project further developed a novel doping method called Laser Chemical Processing (LCP) so it can be used in the production of high efficiency, low cost cells.",1050000,"Solar energy",352365,"April 2012","31 August 2014",,,-35.3082894,149.1125054,http://arena.govspace.gov.au/project/local-doping-using-laser-chemical-processing-technology-for-advanced-silicon-solar-cells/
"Lord Howe Island Hybrid Renewable Energy System","Lord Howe Island Board (LHIB)","The project will add a combined 1 MW of renewable energy generating capacity to the current diesel power generation system operating on Lord Howe Island.",11046065,"Hybrid and enabling technologies",5300000,"June 2014",,,,-31.537585,159.078331,http://arena.govspace.gov.au/project/lord-howe-island-hybrid-renewable-energy-system/
"Low cost, high efficiency Copper-Zinc-Tin-Sulphide (CZTS) on silicon multi-junction solar cells","University of NSW","This project aims to develop a new generation of silicon wafer solar cell technology by producing tandem devices that can improve on the world record 25% efficiency achieved by UNSW with silicon wafer-based solar cells in 2008.",6700000,"Solar energy",1511828,"January 2013",,,,-33.8664869,151.2069902,http://arena.govspace.gov.au/project/low-cost-high-efficiency-copper-zinc-tin-sulphide-czts-on-silicon-multi-junction-solar-cells/
"Lowering the cost of high efficiency silicon solar panels","Australian National University","This project will identify and reduce the impact of defects and impurities throughout the solar panel production process. It will cover the initial growth of the silicon ingots, wafers, cells and the final panel.",6998124,"Solar energy",2023407,"October 2014",,,,-35.282,149.128684,http://arena.govspace.gov.au/project/lowering-the-cost-of-high-efficiency-silicon-solar-panels/
"Mapping network opportunities for renewable energy","University of Technology Sydney","This project will create online maps of electricity network constraints to help better inform network investments and increase the use of renewable energy.

The Institute for Sustainable Futures (ISF) at the University of Technology Sydney (UTS) will develop annually updated maps and make them freely available online.",1020003,"Hybrid and enabling technologies",425000,"July 2014",,,,-33.8674869,151.2069902,http://arena.govspace.gov.au/project/mapping-network-opportunities-for-renewable-energy/
"Micro Urban Solar Integrated Concentrators (MUSIC)","Royal Melbourne Institute of Technology (RMIT)","This project takes a completely new approach to collecting solar energy. It is developing innovative, thin and lightweight concentrating solar collector platforms (which 'collect and concentrate' the energy from sunlight) that deliver up to 400 degrees Celsius thermal energy and electricity from building roofs.",13200000,"Solar energy",4521191,"July 2013",,,,-37.8000469,144.9698607,http://arena.govspace.gov.au/project/micro-urban-solar-integrated-concentrators-music/
"Model for community-owned solar","City of Campbelltown and Local Government Association of South Australia","This project aimed to increase the uptake of community-owned solar (COS), and resulted in a win-win situation for the City of Campbelltown and COS investors.",45000,"Solar energy",15000,"October 2012","31 March 2013",,,-34.87844949999999,138.6631666,http://arena.govspace.gov.au/project/model-for-community-owned-solar/
"Moree Solar Farm","Moree Solar Farm Pty Ltd","This project aims to increase Australian knowledge and expertise in large-scale solar energy by building and operating a 56MWac (70MWp) grid-connected solar farm just south of Moree in NSW.",164000000,"Solar energy",101700000,"July 2014",,,,-29.560554,149.851924,http://arena.govspace.gov.au/project/moree-solar-farm/
"Moreland micro-grid investigation","Moreland Energy Foundation Ltd","This project will examine the logistical, regulatory and financial challenges facing the adoption of micro-grids in existing suburbs.",225800,"Hybrid and enabling technologies",112400,"November 2015",,,,-37.767872,144.961929,http://arena.govspace.gov.au/project/moreland-micro-grid-investigation/
"Multi-junction silicon solar cells","University of NSW (UNSW)","This project aims to produce the first silicon-based solar cell with more than 30% efficiency, challenging the UNSW-held world record for conventional silicon wafer technology.",6030000,"Solar energy",1265000,"January 2012",,,,-33.8674869,151.2049902,http://arena.govspace.gov.au/project/multi-junction-silicon-solar-cells/
"National Community Energy Strategy: Catalysing community renewables in Australia","University of Technology, Sydney","This project involves the development of a National Strategy for Community Energy and the holding of a Community Energy Congress. Both activities are the first of their kind and can create significant public support for renewable energy.",266280,"Hybrid and enabling technologies",330280,"November, 2013",,,,-33.882321,151.200444,http://arena.govspace.gov.au/project/national-community-energy-strategy-catalysing-community-renewables-in-australia/
"New materials and architectures for organic solar cells","University of Queensland","This project investigated and developed new materials and device architectures to improve the efficiency of next generation organic solar cells.",1945817,"Solar energy",945817,"June 2010","1 March 2014",,,-27.4710107,153.0234489,http://arena.govspace.gov.au/project/new-materials-and-architectures-for-organic-solar-cells/
"New photocathodes for solar hydrogen production","Ian Wark Research Institute, University of South Australia","The goal of this project is to develop an inexpensive, conceptually new system for the conversion of solar energy into hydrogen.",1073039,"Solar energy",500000,"January 2013",,,,-34.809276,138.619069,http://arena.govspace.gov.au/project/new-photocathodes-for-solar-hydrogen-production/
"Next generation crystalline silicon on glass modules","University of NSW","This project aims to increase the efficiency of crystalline silicon on glass thin-film solar cells beyond the current world record and to reduce the manufacturing costs by developing new breakthrough approaches to the cell fabrication.",5343000,"Solar energy",1178000,"July 2012",,,,-33.8684869,151.2059902,http://arena.govspace.gov.au/project/next-generation-crystalline-silicon-on-glass-modules/
"Next generation SLIVER cells","Australian National University (ANU)","This project aimed to maximise the likelihood of successful commercialisation of SLIVER technology by simplifying the cell production process and increasing the amount of energy generated by the cells.",13300000,"Solar energy",4953473,"September 2010","31 October 2014",,,-35.282,149.128684,http://arena.govspace.gov.au/project/next-generation-sliver-cells/
"Northern Territory Solar Energy Transformation Program","Power and Water Corporation Indigenous Essential Services Pty Ltd","The Solar Energy Transformation Program - or SETuP - aims to transform the delivery of electricity in remote off-grid communities throughout the Northern Territory.",55000000,"Solar energy",27500000,"July 2014",,,,-13.748809,130.688658,http://arena.govspace.gov.au/project/northern-territory-solar-energy-transformation-program/
"Novel concepts for low cost small heliostats in remote installations","CSIRO Energy Flagship","The project will develop a heliostat optimised for deployment in regional and remote areas of Australia. A heliostat is a device used for harnessing the sun's energy that includes a mirror which moves with the sun to continuously reflect light toward a fixed target.",2158071,"Solar energy",1000000,"August 2014",,,,-32.926689,151.7789205,http://arena.govspace.gov.au/project/novel-concepts-for-low-cost-small-heliostats-in-remote-installations/
"Novel texture processes for the latest industrial wafer and advanced cell concepts","Suntech R&D Australia","Suntech R&amp;D Australia with its two German partners was able to develop a novel plasma and wet etch process with a cell efficiency on monocrystalline silicon cell of up to 19%. This process developed could result in reducing the manufacturing costs of solar modules.",1302000,"Solar energy",475000,"January 2013","1 May 2015",,,-33.8764869,151.2079902,http://arena.govspace.gov.au/project/novel-texture-processes-for-the-latest-industrial-wafer-and-advanced-cell-concepts/
"Oceanlinx 1MW Commercial Wave Energy Demonstrator",Oceanlinx,"<em>(Project closed 20 June 2014)</em> The Oceanlinx commercial wave energy demonstrator is a 3,000 tonne structure measuring approximately 21 metres wide by 24 metres long. The device was designed to sit in shallow water, using oscillating water column (OWC) technology to generate 1MW peak output.",8018050,"Ocean energy",3941757,"June 2012",,,1,-38.0534132,140.7024228,http://arena.govspace.gov.au/project/oceanlinx-1mw-commercial-wave-energy-demonstrator/
"Optimisation of central receivers for advanced power cycles",CSIRO,"This project will investigate the new family of solar components which can provide a higher temperature range.",2849398,"Solar energy",1150879,"January 2013",,,,-32.8919155,151.6983776,http://arena.govspace.gov.au/project/optimisation-of-central-receivers-for-advanced-power-cycles/
"Optimising thin-film Building Integrated Photovoltaic Thermal for retrofitting","BlueScope Steel Limited","The project objective was to broaden the value proposition of Building Integrated Photovoltaic (BIPV) systems through an enhanced understanding of the performance and optimal design of BIPV systems with added thermal functionality, i.e. Building Integrated Photovoltaic Thermal (BIPVT) systems.",1597320,"Solar energy",477320,"April 2012","June 2015",,,-34.4250728,150.8931494,http://arena.govspace.gov.au/project/optimising-thin-film-building-integrated-photovoltaic-thermal-for-retrofitting/
"Overcoming the fundamental performance limitations of commercial solar cells","University of NSW (UNSW)","This project aimed to improve solar cell performance and reduce production costs by mass-producing solar cells using large-scale commercial manufacturing. It achieved the world's first 20% efficient p-type CZ cell fabricated using commercial equipment, 10 years ahead of the timing predicted by international experts.",15329280,"Solar energy",4400000,"October 2011","June 2015",,,-33.8664869,151.2079902,http://arena.govspace.gov.au/project/overcoming-the-fundamental-performance-limitations-of-commercial-solar-cells/
"Paralana Engineered Geothermal Systems Project","MNGI PTY LTD (Trading Name: Petratherm Limited)","<em>(Project closed 14 November 2014 - no funds were paid to Petratherm Limited)</em> This project aimed to identify ways to extract energy from geothermal wells at a commercially viable cost. ARENA's funding commitment was $12,997,300.",,Geothermal,0,"June 2013",,,1,-30.25,139.5343333,http://arena.govspace.gov.au/project/paralana-engineered-geothermal-systems-project/
"Participation in the International Energy Agency's Bioenergy program","Bioenergy Australia","This project involves Bioenergy Australia extending its participation in the International Energy Agency's Bioenergy program. It will help shape the global research and knowledge agenda for the developing bioenergy industry.",1098700,Bioenergy,360000,"July 2014",,,,-33.8674869,151.2069902,http://arena.govspace.gov.au/project/participation-in-the-international-energy-agencys-bioenergy-program/
"Pathways to Deep Decarbonisation in 2050","ClimateWorks Australia and the Australian National University (project co-leaders)","This project explores the role of renewable energy technologies and biofuels in decarbonising the Australian economy. The project is jointly led by ClimateWorks Australia and the Australian National University and draws on the latest research and modelling by CSIRO and Centre of Policy Studies at Victoria University.",934550,"Hybrid and enabling technologies",305893,"23 June 2014",,,,-37.814107,144.96328,http://arena.govspace.gov.au/project/pathways-to-deep-decarbonisation-in-2050/
"Perth Wave Energy Project","Carnegie Wave Energy Limited","This project is the world's first commercial-scale wave energy array that is connected to the grid and has the ability to produce desalinated water.",32000000,"Ocean energy",13095381,"April 2012",,,,-32.2429551,115.6986301,http://arena.govspace.gov.au/project/perth-wave-energy-project/
"Pilot-scale plant for the production of solar anti-reflection coatings","Brisbane Materials Technology Pty Ltd","This project involved the construction and operation of a pilot-scale manufacturing facility for an innovative anti-reflection (AR) coating that can be used on solar panels.",4800000,"Solar energy",1262000,"November 2012","June 2015",,,37.6807661,-122.3999715,http://arena.govspace.gov.au/project/pilot-scale-plant-for-the-production-of-solar-anti-reflection-coatings/
"Plasmonics for high efficiency solar cells","Australian National University","The project aimed to commercialise a new way of increasing light absorption in solar cells using a technology called 'plasmonics'.",5840000,"Solar energy",1573137,"August 2010","19 January 2014",,,-35.28,149.118527,http://arena.govspace.gov.au/project/plasmonics-for-high-efficiency-solar-cells/
"Plug and play solar power",CSIRO,"The project aims to address barriers to solar hybrid power system growth by developing 'Plug and Play' technology.",2900000,"Hybrid and enabling technologies",1292725,"January 2013",,,,-32.8919155,151.6993776,http://arena.govspace.gov.au/project/plug-and-play-solar-power/
"Port Augusta solar thermal feasibility study","Alinta Energy","This project focuses on the pre-feasibility work needed to assess the viability of a stand-alone solar thermal plant using 'power tower' technology that would see a field of mirrors concentrate light into a central receiver at the top of a tower. The high temperatures generated by power tower technology make it most compatible with molten-salt storage.",2300000,"Solar energy",1000000,"July 2014",,,,-32.4924399,137.7628176,http://arena.govspace.gov.au/project/port-augusta-solar-thermal-feasibility-study/
"Potential network benefits of Concentrating Solar Thermal Power (CSP) in the National Electricity Market (NEM)","Australian Solar Thermal Energy Association (AUSTELA)","This study was undertaken to quantify the potential benefits of installing CSP generation at constrained network locations in the National Electricity Market (NEM).",272000,"Solar energy",179965,"June 2012","30 April 2013",,,-33.8784869,151.2059902,http://arena.govspace.gov.au/project/potential-network-benefits-of-csp-in-the-nem/
"'Power Cube' power tower receiver","University of NSW","This project is aims to reduce the cost of utility scale photovoltaics by developing a technology that splits sunlight into specific wavelength bands and converts each into electricity using commercially available solar cells.",1360000,"Solar energy",550000,"July 2012",,,,-33.8694869,151.2069902,http://arena.govspace.gov.au/project/power-cube-power-tower-receiver/
"Predicting cloud movements to maximise solar PV use","Fulcrum 3D","This project involves the development and demonstration of a sophisticated cloud tracking solution. Fulcrum3D's 'CloudCAM' technology is expected to perform better than existing optical sky cameras in identifying cloud height and separating out layered clouds.",904000,"Hybrid and enabling technologies",452000,"September 2014",,,,-23.7002104,133.8806114,http://arena.govspace.gov.au/project/predicting-cloud-movements-to-maximise-solar-pv-use/
"Printing solar cells: A manufacturing proposal for Australia","University of Melbourne","This project developed new materials and solar cell designs with enhanced performance that significantly improve the efficiency and durability of organic photovoltaic (OPV) solar cells.",7241740,"Solar energy",1762500,"April 2011","20 October 2014",,,-37.798501,144.961905,http://arena.govspace.gov.au/project/printing-solar-cells-a-manufacturing-proposal-for-australia/
"Production of biofuel from microalgae","The University of Melbourne","This project developed a technology that produces biodiesel and other valuable by-products from microalgal biomass harvested from large-scale algal farms. Microalgae are microscopic plant-like organisms that directly convert carbon dioxide and sunlight into biochemical energy.",2844665,Bioenergy,920000,"February 2010","June 2012",,,-37.7945414,144.9567011,http://arena.govspace.gov.au/project/production-of-biofuel-from-microalgae/
"Production of Generation 2 ethanol from sugarcane waste","Microbiogen Pty Ltd","Using specialised yeast bred for the purpose and an advanced refinery process called Fuel AND Food, the project converted sugarcane waste into three products: ethanol fuel, high nutrition animal feed and an environmentally friendly potential substitute for coal.",6192876,Bioenergy,2374996,"November 2009","April 2012",,,-33.8145564,151.1698948,http://arena.govspace.gov.au/project/production-of-generation-2-ethanol-from-sugarcane-waste/
"Redeployable Hybrid Power Feasibility Study","Laing O'Rourke","This project involves a feasibility study into a portable hybrid solar/diesel power plant. Laing O'Rourke will undertake the study, which has the potential to change the renewable energy landscape in regional and remote Australia.",820619,"Hybrid and enabling technologies",410309,"March 2014",,,,-33.8784869,151.2069902,http://arena.govspace.gov.au/project/redeployable-hybrid-power-feasibility-study/
"Redeployable Hybrid Power","Laing O'Rourke","This project involves a pilot-scale deployment of a fully redeployable hybrid solar/diesel power plant. Laing O'Rourke will construct, set up and pack down a demonstration solar plant. The technology has the potential to change the  renewable energy landscape in regional and remote Australia.",1800000,"Hybrid and enabling technologies",450000,"July 2014",,,,-26.244948526313,149.55157867557,http://arena.govspace.gov.au/project/redeployable-hybrid-power/
"Reservoir quality in sedimentary geothermal resources","South Australian Centre for Geothermal Energy Research (SACGER) and the University of Adelaide","This project analysed the only two geothermal wells drilled in Hot Sedimentary Aquifer reservoirs in Australia to evaluate why the flow of fluid was significantly less than expected.",3540000,Geothermal,1250000,"September 2012","16 January 2015",,,-34.92862119999999,138.5999594,http://arena.govspace.gov.au/project/reservoir-quality-in-sedimentary-geothermal-resources/
"Roof-mounted hybrid CST system for self-generated heating, cooling and electricity","Australian National University (ANU)","This project aims to develop and commercialise a roof-mounted hybrid solar concentrator PV/thermal system that cost effectively delivers solar heating, cooling and electricity.",9500000,"Solar energy",3235710,"August 2010",,,,-35.2819998,149.1286843,http://arena.govspace.gov.au/project/roof-mounted-hybrid-cst-system-for-self-generated-heating-cooling-and-electricity/
"Rottnest Island Water and Renewable Energy Nexus (WREN) project","Hydro Tasmania","This project will combine innovative use of renewable energy and smart controls to help reduce the amount of diesel fuel needed to generate power and produce clean drinking water at Rottnest Island, a popular tourist destination.",7300000,"Hybrid and enabling technologies",4800000,"September 2015",,,,-31.9969253,115.5400441,http://arena.govspace.gov.au/project/rottnest-island-water-and-renewable-energy-nexus-wren-project/
"Solar air turbine systems",CSIRO,"This project involved CSIRO and Mitsubishi Heavy Industries developing and testing the components of the world's most powerful solar air turbines to increase its efficiency while decreasing its manufacturing, installation and operation costs.",15647071,"Solar energy",3055000,"December 2010","1 October 2014",,,-32.925689,151.7799205,http://arena.govspace.gov.au/project/solar-air-turbine-systems/
"Solar and storage trial at Alkimos Beach residential development","Electricity Generation & Retail Corporation trading as Synergy","This project involves developing, deploying and testing the commercial feasibility of a new energy retail model. It will combine community scale battery energy storage, high penetration solar photovoltaics (PV) and energy management within a new residential development at Alkimos Beach in Western Australia.",6700000,"Solar energy",3300000,"August 2014",,,,-31.618597,115.682746,http://arena.govspace.gov.au/project/solar-and-storage-trial-at-alkimos-beach-residential-development/
"Solar-driven supercritical CO2 Brayton Cycle",CSIRO,"Building on CSIRO's existing solar air turbine technology, this project is examining ways to reduce the cost of solar energy to less than 10 cents per kilowatt hour (c/kWh) which would make solar energy cost competitive with existing power stations.",5771000,"Solar energy",2496835,"October 2012",,,,-32.924689,151.7789205,http://arena.govspace.gov.au/project/solar-driven-supercritical-co2-brayton-cycle/
"Solar energy management system for utilities",CSIRO,"CSIRO developed a world-first 'firm' solar energy system to reliably reduce the impacts of peak demand by tackling air conditioner electrical consumption, which is the primary cause of peak demand in Australian electricity networks.",665700,"Solar energy",225715,"July 2012","October 2014",,,-19.240344,146.7900173,http://arena.govspace.gov.au/project/solar-energy-management-system-for-utilities/
"Solar hybrid fuels",CSIRO,"This project aims to make synthesis gas from natural gas at temperatures compatible with conventional solar thermal storage.",3900000,"Solar energy",1585853,"July 2012",,,,-32.927689,151.7779205,http://arena.govspace.gov.au/project/solar-hybrid-fuels/
"Solar panels for the Australian environment","Australian National University","Designing a PV module for Australian conditions is a complex and difficult engineering task, requiring modification of almost all module components.",1210492,"Solar energy",502977,"August 2014",,,,-35.282,149.128684,http://arena.govspace.gov.au/project/solar-panels-for-the-australian-environment/
"Solar resource mapping project","Geoscience Australia","This project contributed to the creation of the Australian Solar Energy Information System, funded the development of better satellite models for depicting solar radiation, and funded eight additional solar radiation ground monitoring stations.",,"Solar energy",4976364,"November 2010","2 December 2013",,,-35.343449,149.158393,http://arena.govspace.gov.au/project/solar-resource-mapping-project/
"Solar supercritical organic Rankine Cycle for power and industrial heat","Granite Power Ltd","This project demonstrated an innovative CST system's ability to provide 24/7 electricity using integrated solar thermal storage and operating as an automated plant in conjunction with a gas heater.",1789250,"Solar energy",812000,"March 2012","7 July 2014",,,-32.927689,151.7789205,http://arena.govspace.gov.au/project/solar-supercritical-organic-rankine-cycle-for-power-and-industrial-heat/
"Solar thermal research hub",CSIRO,"This project involved CSIRO constructing Australia's largest solar thermal research hub at the CSIRO National Solar Energy Centre in Newcastle.",5000000,"Solar energy",5000000,"May 2009","4 July 2014",,,-32.927689,151.7799205,http://arena.govspace.gov.au/project/solar-thermal-research-hub/
"Specifying guidelines for assessing next generation solar cells",CSIRO,"This project will establish guidelines for measuring the performance of emerging photovoltaic (PV) technologies such as perovskite solar cells. The guidelines will help to ensure Australian research laboratories have access to a best practice methodology that is reliable, transferable and accurately reflects the true performance of the devices in the outdoor environment.",2211000,"Solar energy",892000,"November 2015",,,,-32.8916357,151.7287974,http://arena.govspace.gov.au/project/specifying-guidelines-for-assessing-next-generation-solar-cells/
"Sustainable production of transport biofuels from mallee crops by pyrolysis and biorefinery","Curtin University of Technology","This project aimed to develop a new technology and increased technical expertise to equip Australia to grow and convert farm-grown mallee crops into advanced biofuels that can meet transport fuel demands while reducing carbon emissions.",,Bioenergy,2500000,"September 2009","May 2012",,,-31.9530044,115.8574693,http://arena.govspace.gov.au/project/sustainable-production-of-transport-biofuels-from-mallee-crops-by-pyrolysis-and-biorefinery/
"Tandem Quantum Dot solar cells","University of NSW","This project is demonstrating a new type of photovoltaic solar cell that combines the reliability of silicon with a technology that can more effectively collect visible and invisible solar energy (called a tandem solar cell) thereby creating a new type of tandem solar cell based solely on silicon.",4500000,"Solar energy",1375000,"March 2011",,,,-33.8674869,151.2079902,http://arena.govspace.gov.au/project/tandem-quantum-dot-solar-cells/
"Testing the performance of lithium ion batteries","IT Power (Australia) Pty Ltd","This project will analyse the performance of six major lithium-ion battery brands, comparing them to existing and advanced lead-acid battery technologies to demonstrate how they could operate in large and small electricity grids.",609000,"Hybrid and enabling technologies",450000,"30 March 2015",,,,-35.282,149.128684,http://arena.govspace.gov.au/project/testing-the-performance-of-lithium-ion-batteries/
"The Australian biomass for bioenergy assessment project","Rural Industries Research and Development Corporation","The Australian biomass for bioenergy assessment project will deliver a national database of biomass resources for bioenergy across Australia. ",6269000,Bioenergy,3000000,"December 2015",,,,-35.3109631,149.1330612,http://arena.govspace.gov.au/project/the-australian-biomass-for-bioenergy-assessment-project/
"The Hot Carrier solar cell","University of NSW","This project investigated the feasibility of the Hot Carrier solar cell, which is very efficient in converting solar energy to electricity and inexpensive to manufacture.",1300000,"Solar energy",563906,"April 2011","August 2015",,,-33.8684869,151.2079902,http://arena.govspace.gov.au/project/the-hot-carrier-solar-cell/
"Thermoelectric generator for concentrated solar thermal systems",CSIRO,"This project developed and applied high-performance thermoelectric materials and technologies to concentrated solar thermal (CST) systems.",5262840,"Solar energy",2200912,"1 April 2011","12 January 2015",,,-32.928689,151.7789205,http://arena.govspace.gov.au/project/thermoelectric-generator-for-concentrated-solar-thermal-systems/
"Toolkit for community renewable energy funding and financing","Frontier Carbon Pty Ltd","Frontier Carbon will develop a financial toolkit for funding and financing community energy projects. A central repository will house simplified information on obtaining finance throughout each phase of the development process including concept, pre-feasibility, feasibility and financial close.",493115,"Renewable energy industry capacity building",296000,"June 2015",,,,-37.813462,144.972472,http://arena.govspace.gov.au/project/toolkit-for-community-renewable-energy-funding-and-financing/
"Tools for design and scale-up of solar thermochemical reactors","University of NSW","This project will produce the basic knowledge needed to design solar thermochemical reactors that can perform required energy conversions.",5300000,"Solar energy",1083320,"February 2013",,,,-33.9100068,151.2229804,http://arena.govspace.gov.au/project/tools-for-design-and-scale-up-of-solar-thermochemical-reactors/
"Towards a practical Hot Carrier solar cell","University of NSW","This project is investigating suitable materials and structures that could be used to produce a working model of a Hot Carrier solar cell, which can more effectively harvest energy from sunlight.",6550000,"Solar energy",2278343,"January 2012",,,,-33.8674869,151.2089902,http://arena.govspace.gov.au/project/towards-a-practical-hot-carrier-solar-cell/
"Towards ultimate performance silicon solar cells","University of New South Wales","This project combines three innovative approaches to improve the performance and cost of commercial silicon solar cells and further develop UNSW's industry-leading solar cell architectures.",12804047,"Solar energy",2970702,"July 2015",,,,-33.8674869,151.2069902,http://arena.govspace.gov.au/project/towards-ultimate-performance-silicon-solar-cells/
"Trialling a new residential solar PV and battery model","Ergon Energy Queensland Pty Ltd (Ergon Retail)","This project involves Queensland energy provider Ergon Retail undertaking a pilot demonstration to test a commercial and operational model for providing grid-connected solar photovoltaic (PV) and battery storage systems to residential customers. The demonstration will involve installing and testing 33 systems in Cannonvale, Toowoomba and Townsville.",2620000,"Hybrid and enabling technologies",400000,"August 2015",,,,-20.2829696,148.6882636,http://arena.govspace.gov.au/project/trialling-a-new-residential-solar-pv-and-battery-model/
"UltraBattery distributed PV support and UltraBattery for remote area power supply","Smart Storage Pty Ltd T/A Ecoult","This project will apply CSIRO's breakthrough UltraBattery technology to deliver superior energy storage solutions.",1207800,"Hybrid and enabling technologies",553780,"February 2013",,,,-33.8784869,151.2079902,http://arena.govspace.gov.au/project/ultrabattery-distributed-pv-support-and-ultrabattery-for-remote-area-power-supply/
"Upconversion of the solar spectrum for improved PV energy conversion","University of Sydney","This project aimed to overcome the limitations of normal solar cells by developing a solar cell coating that can harvest sub-threshold light.",2058000,"Solar energy",487584,"March 2011","August 2014",,,-33.8674869,151.2069902,http://arena.govspace.gov.au/project/upconversion-of-the-solar-spectrum-for-improved-pv-energy-conversion/
"Utility-scale solar installations: social license to operate in Australia","Ipsos Social Research Institute","The project involved undertaking comprehensive research to develop an understanding of the public knowledge and attitudes towards utility-scale solar projects.",153388,"Hybrid and enabling technologies",153388,"December 2012","February 2015",,,-33.808859,151.1847951,http://arena.govspace.gov.au/project/utility-scale-solar-installations-social-license-to-operate-in-australia/
"Validation of CST solar array performance modelling","Vast Solar Pty Ltd","Building on an existing testing and demonstration facility comprising 200 mirrors, Vast Solar constructed and deployed an additional 500 mirrors, developed a higher temperature receiver, operated the facility and gathered performance data, then determined operational requirements.",1300000,"Solar energy",437243,"February 2012","August 2014",,,-33.4446398,147.7186374,http://arena.govspace.gov.au/project/validation-of-cst-solar-array-performance-modelling/
"Vast Solar 6MW concentrating solar thermal pilot project","Vast Solar Pty Ltd","This project will provide evidence of the reliable and safe operation of the Vast Solar CST system in a fully functioning pilot power generation facility, in readiness for the demonstration of Vast Solar's system at full commercial scale.",10066000,"Solar energy",4966960,"February 2014",,,,-33.4446398,147.7176374,http://arena.govspace.gov.au/project/vast-solar-6mw-concentrating-solar-thermal-pilot-project/
"Victorian Wave Partners Wave Power Station","Victorian Wave Partners Pty Ltd","<em>(Project closed 8 August 2014 <em>- no funds were paid to Victorian Wave Partners Pty Ltd</em>)</em> This project involved the construction and operation of the world's first large-scale grid-connected wave power station using Victorian Wave Partners' PowerBuoy technology. ARENA's funding commitment was $66,465,000.",233000000,"Ocean energy",0,"September 2010",,,1,-38.3463453,141.6042096,http://arena.govspace.gov.au/project/victorian-wave-partners-wave-power-station/
"Virtual Power Station 2",CSIRO,"This project builds on CSIRO's existing research, creating the next version of a virtual power station (VPS2) that can undertake pilot-scale testing of load, generation and energy storage coordination.",2387000,"Solar energy",850000,"August 2014",,,,-32.926689,151.7789205,http://arena.govspace.gov.au/project/virtual-power-station-2/
